chat_row,text_message,Tokens,Adjusted_Tokens,Sentiment,Positive_Count,Negative_Count,Sentiment_TextBlob
19,today was the poor day for my aerobics. I feel so horrible about it.,"['today', 'poor', 'day', 'aerobics', '.', 'feel', 'horrible', '.']","['today', 'poor', 'day', 'aerobics', '.', 'feel', 'horrible', '.']",Negative,0,2,Negative
20,today was the sad day for my high-protein. I feel so negative about it.,"['today', 'sad', 'day', 'high-protein', '.', 'feel', 'negative', '.']","['today', 'sad', 'day', 'high-protein', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
21,i fantastic my high-protein session today! It really made a difference in my pilates!,"['fantastic', 'high-protein', 'session', 'today', '!', 'really', 'made', 'difference', 'pilates', '!']","['fantastic', 'high-protein', 'session', 'today', '!', 'really', 'made', 'difference', 'pilates', '!']",Positive,1,0,Positive
22,today was the horrible day for my meal prep. I feel so sad about it.,"['today', 'horrible', 'day', 'meal', 'prep', '.', 'feel', 'sad', '.']","['today', 'horrible', 'day', 'meal', 'prep', '.', 'feel', 'sad', '.']",Negative,0,2,Negative
23,today was the disappointing day for my fats. I feel so worst about it.,"['today', 'disappointing', 'day', 'fats', '.', 'feel', 'worst', '.']","['today', 'disappointing', 'day', 'fats', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
24,i good my nutrition labels session today! It really made a difference in my strength training!,"['good', 'nutrition', 'labels', 'session', 'today', '!', 'really', 'made', 'difference', 'strength', 'training', '!']","['good', 'nutrition', 'labels', 'session', 'today', '!', 'really', 'made', 'difference', 'strength', 'training', '!']",Positive,1,0,Positive
25,i fantastic my meal plan session today!,"['fantastic', 'meal', 'plan', 'session', 'today', '!']","['fantastic', 'meal', 'plan', 'session', 'today', '!']",Positive,1,0,Positive
26,i happy my calories session today!,"['happy', 'calories', 'session', 'today', '!']","['happy', 'calories', 'session', 'today', '!']",Positive,1,0,Positive
27,today was the poor day for my meal prep. I feel so bad about it.,"['today', 'poor', 'day', 'meal', 'prep', '.', 'feel', 'bad', '.']","['today', 'poor', 'day', 'meal', 'prep', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
28,today was the horrible day for my fitness goals. I feel so sad about it.,"['today', 'horrible', 'day', 'fitness', 'goals', '.', 'feel', 'sad', '.']","['today', 'horrible', 'day', 'fitness', 'goals', '.', 'feel', 'sad', '.']",Negative,0,2,Negative
29,i great my balanced diet session today! It really made a difference in my cycling!,"['great', 'balanced', 'diet', 'session', 'today', '!', 'really', 'made', 'difference', 'cycling', '!']","['great', 'balanced', 'diet', 'session', 'today', '!', 'really', 'made', 'difference', 'cycling', '!']",Positive,1,0,Positive
30,i excellent my muscle gain session today!,"['excellent', 'muscle', 'gain', 'session', 'today', '!']","['excellent', 'muscle', 'gain', 'session', 'today', '!']",Positive,1,0,Positive
31,today was the sad day for my meal prep. I feel so worst about it.,"['today', 'sad', 'day', 'meal', 'prep', '.', 'feel', 'worst', '.']","['today', 'sad', 'day', 'meal', 'prep', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
32,today was the horrible day for my carbohydrates. I feel so negative about it.,"['today', 'horrible', 'day', 'carbohydrates', '.', 'feel', 'negative', '.']","['today', 'horrible', 'day', 'carbohydrates', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
33,today was the worst day for my cardiovascular. I feel so bad about it.,"['today', 'worst', 'day', 'cardiovascular', '.', 'feel', 'bad', '.']","['today', 'worst', 'day', 'cardiovascular', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
34,today was the poor day for my aerobics. I feel so sad about it.,"['today', 'poor', 'day', 'aerobics', '.', 'feel', 'sad', '.']","['today', 'poor', 'day', 'aerobics', '.', 'feel', 'sad', '.']",Negative,0,2,Negative
35,today was the disappointing day for my superfoods. I feel so hate about it.,"['today', 'disappointing', 'day', 'superfoods', '.', 'feel', 'hate', '.']","['today', 'disappointing', 'day', 'superfoods', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
36,today was the sad day for my low-sodium. I feel so negative about it.,"['today', 'sad', 'day', 'low-sodium', '.', 'feel', 'negative', '.']","['today', 'sad', 'day', 'low-sodium', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
37,today was the hate day for my meal plan. I feel so disappointing about it.,"['today', 'hate', 'day', 'meal', 'plan', '.', 'feel', 'disappointing', '.']","['today', 'hate', 'day', 'meal', 'plan', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
38,i positive my wellness session today!,"['positive', 'wellness', 'session', 'today', '!']","['positive', 'wellness', 'session', 'today', '!']",Positive,1,0,Positive
39,today was the worst day for my fitness. I feel so worst about it.,"['today', 'worst', 'day', 'fitness', '.', 'feel', 'worst', '.']","['today', 'worst', 'day', 'fitness', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
40,today was the sad day for my keto. I feel so worst about it.,"['today', 'sad', 'day', 'keto', '.', 'feel', 'worst', '.']","['today', 'sad', 'day', 'keto', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
41,i positive my gym session today!,"['positive', 'gym', 'session', 'today', '!']","['positive', 'gym', 'session', 'today', '!']",Positive,1,0,Positive
42,today was the negative day for my weight loss. I feel so disappointing about it.,"['today', 'negative', 'day', 'weight', 'loss', '.', 'feel', 'disappointing', '.']","['today', 'negative', 'day', 'weight', 'loss', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
43,today was the worst day for my powerlifting. I feel so horrible about it.,"['today', 'worst', 'day', 'powerlifting', '.', 'feel', 'horrible', '.']","['today', 'worst', 'day', 'powerlifting', '.', 'feel', 'horrible', '.']",Negative,0,2,Negative
44,today was the bad day for my proteins. I feel so sad about it.,"['today', 'bad', 'day', 'proteins', '.', 'feel', 'sad', '.']","['today', 'bad', 'day', 'proteins', '.', 'feel', 'sad', '.']",Negative,0,2,Negative
45,today was the disappointing day for my healthy eating. I feel so worst about it.,"['today', 'disappointing', 'day', 'healthy', 'eating', '.', 'feel', 'worst', '.']","['today', 'disappointing', 'day', 'healthy', 'eating', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
46,today was the negative day for my Mediterranean diet. I feel so disappointing about it.,"['today', 'negative', 'day', 'mediterranean', 'diet', '.', 'feel', 'disappointing', '.']","['today', 'negative', 'day', 'mediterranean', 'diet', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
47,today was the bad day for my portion control. I feel so disappointing about it.,"['today', 'bad', 'day', 'portion', 'control', '.', 'feel', 'disappointing', '.']","['today', 'bad', 'day', 'portion', 'control', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
48,today was the sad day for my sports. I feel so bad about it.,"['today', 'sad', 'day', 'sports', '.', 'feel', 'bad', '.']","['today', 'sad', 'day', 'sports', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
49,today was the hate day for my performance. I feel so negative about it.,"['today', 'hate', 'day', 'performance', '.', 'feel', 'negative', '.']","['today', 'hate', 'day', 'performance', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
50,i love my fiber session today! It really made a difference in my burpees!,"['love', 'fiber', 'session', 'today', '!', 'really', 'made', 'difference', 'burpees', '!']","['love', 'fiber', 'session', 'today', '!', 'really', 'made', 'difference', 'burpees', '!']",Positive,1,0,Positive
51,today was the bad day for my stamina. I feel so disappointing about it.,"['today', 'bad', 'day', 'stamina', '.', 'feel', 'disappointing', '.']","['today', 'bad', 'day', 'stamina', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
52,i good my exercise session today! It really made a difference in my pilates!,"['good', 'exercise', 'session', 'today', '!', 'really', 'made', 'difference', 'pilates', '!']","['good', 'exercise', 'session', 'today', '!', 'really', 'made', 'difference', 'pilates', '!']",Positive,1,0,Positive
53,i amazing my health session today! It really made a difference in my sports!,"['amazing', 'health', 'session', 'today', '!', 'really', 'made', 'difference', 'sports', '!']","['amazing', 'health', 'session', 'today', '!', 'really', 'made', 'difference', 'sports', '!']",Positive,1,0,Positive
54,today was the negative day for my clean eating. I feel so negative about it.,"['today', 'negative', 'day', 'clean', 'eating', '.', 'feel', 'negative', '.']","['today', 'negative', 'day', 'clean', 'eating', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
55,i amazing my squat session today!,"['amazing', 'squat', 'session', 'today', '!']","['amazing', 'squat', 'session', 'today', '!']",Positive,1,0,Positive
56,today was the worst day for my cardio. I feel so poor about it.,"['today', 'worst', 'day', 'cardio', '.', 'feel', 'poor', '.']","['today', 'worst', 'day', 'cardio', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
57,today was the negative day for my fiber. I feel so negative about it.,"['today', 'negative', 'day', 'fiber', '.', 'feel', 'negative', '.']","['today', 'negative', 'day', 'fiber', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
58,today was the bad day for my performance. I feel so horrible about it.,"['today', 'bad', 'day', 'performance', '.', 'feel', 'horrible', '.']","['today', 'bad', 'day', 'performance', '.', 'feel', 'horrible', '.']",Negative,0,2,Negative
59,i happy my strength training session today! It really made a difference in my aerobics!,"['happy', 'strength', 'training', 'session', 'today', '!', 'really', 'made', 'difference', 'aerobics', '!']","['happy', 'strength', 'training', 'session', 'today', '!', 'really', 'made', 'difference', 'aerobics', '!']",Positive,1,0,Positive
60,today was the bad day for my motivation. I feel so poor about it.,"['today', 'bad', 'day', 'motivation', '.', 'feel', 'poor', '.']","['today', 'bad', 'day', 'motivation', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
61,i amazing my gluten-free session today!,"['amazing', 'gluten-free', 'session', 'today', '!']","['amazing', 'gluten-free', 'session', 'today', '!']",Positive,1,0,Positive
62,today was the disappointing day for my aerobics. I feel so sad about it.,"['today', 'disappointing', 'day', 'aerobics', '.', 'feel', 'sad', '.']","['today', 'disappointing', 'day', 'aerobics', '.', 'feel', 'sad', '.']",Negative,0,2,Negative
63,today was the disappointing day for my meal plan. I feel so negative about it.,"['today', 'disappointing', 'day', 'meal', 'plan', '.', 'feel', 'negative', '.']","['today', 'disappointing', 'day', 'meal', 'plan', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
64,i fantastic my exercise session today! It really made a difference in my weightlifting!,"['fantastic', 'exercise', 'session', 'today', '!', 'really', 'made', 'difference', 'weightlifting', '!']","['fantastic', 'exercise', 'session', 'today', '!', 'really', 'made', 'difference', 'weightlifting', '!']",Positive,1,0,Positive
65,today was the worst day for my food diary. I feel so hate about it.,"['today', 'worst', 'day', 'food', 'diary', '.', 'feel', 'hate', '.']","['today', 'worst', 'day', 'food', 'diary', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
66,i positive my carbohydrates session today!,"['positive', 'carbohydrates', 'session', 'today', '!']","['positive', 'carbohydrates', 'session', 'today', '!']",Positive,1,0,Positive
67,today was the horrible day for my recovery. I feel so negative about it.,"['today', 'horrible', 'day', 'recovery', '.', 'feel', 'negative', '.']","['today', 'horrible', 'day', 'recovery', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
68,i positive my training session today! It really made a difference in my muscle gain!,"['positive', 'training', 'session', 'today', '!', 'really', 'made', 'difference', 'muscle', 'gain', '!']","['positive', 'training', 'session', 'today', '!', 'really', 'made', 'difference', 'muscle', 'gain', '!']",Positive,1,0,Positive
69,today was the hate day for my burpees. I feel so hate about it.,"['today', 'hate', 'day', 'burpees', '.', 'feel', 'hate', '.']","['today', 'hate', 'day', 'burpees', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
70,i great my health session today!,"['great', 'health', 'session', 'today', '!']","['great', 'health', 'session', 'today', '!']",Positive,1,0,Positive
71,today was the negative day for my detox. I feel so bad about it.,"['today', 'negative', 'day', 'detox', '.', 'feel', 'bad', '.']","['today', 'negative', 'day', 'detox', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
72,i good my running session today!,"['good', 'running', 'session', 'today', '!']","['good', 'running', 'session', 'today', '!']",Positive,1,0,Positive
73,i good my wellness session today! It really made a difference in my resistance training!,"['good', 'wellness', 'session', 'today', '!', 'really', 'made', 'difference', 'resistance', 'training', '!']","['good', 'wellness', 'session', 'today', '!', 'really', 'made', 'difference', 'resistance', 'training', '!']",Positive,1,0,Positive
74,i love my pilates session today!,"['love', 'pilates', 'session', 'today', '!']","['love', 'pilates', 'session', 'today', '!']",Positive,1,0,Positive
75,today was the horrible day for my powerlifting. I feel so sad about it.,"['today', 'horrible', 'day', 'powerlifting', '.', 'feel', 'sad', '.']","['today', 'horrible', 'day', 'powerlifting', '.', 'feel', 'sad', '.']",Negative,0,2,Negative
76,today was the hate day for my endurance. I feel so bad about it.,"['today', 'hate', 'day', 'endurance', '.', 'feel', 'bad', '.']","['today', 'hate', 'day', 'endurance', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
77,i positive my burpees session today! It really made a difference in my endurance!,"['positive', 'burpees', 'session', 'today', '!', 'really', 'made', 'difference', 'endurance', '!']","['positive', 'burpees', 'session', 'today', '!', 'really', 'made', 'difference', 'endurance', '!']",Positive,1,0,Positive
78,today was the bad day for my calorie surplus. I feel so negative about it.,"['today', 'bad', 'day', 'calorie', 'surplus', '.', 'feel', 'negative', '.']","['today', 'bad', 'day', 'calorie', 'surplus', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
79,today was the disappointing day for my food pyramid. I feel so negative about it.,"['today', 'disappointing', 'day', 'food', 'pyramid', '.', 'feel', 'negative', '.']","['today', 'disappointing', 'day', 'food', 'pyramid', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
80,i amazing my resistance training session today!,"['amazing', 'resistance', 'training', 'session', 'today', '!']","['amazing', 'resistance', 'training', 'session', 'today', '!']",Positive,1,0,Positive
81,i amazing my superfoods session today!,"['amazing', 'superfoods', 'session', 'today', '!']","['amazing', 'superfoods', 'session', 'today', '!']",Positive,1,0,Positive
82,today was the poor day for my whole foods. I feel so horrible about it.,"['today', 'poor', 'day', 'whole', 'foods', '.', 'feel', 'horrible', '.']","['today', 'poor', 'day', 'whole', 'foods', '.', 'feel', 'horrible', '.']",Negative,0,2,Negative
83,today was the worst day for my portion control. I feel so worst about it.,"['today', 'worst', 'day', 'portion', 'control', '.', 'feel', 'worst', '.']","['today', 'worst', 'day', 'portion', 'control', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
84,i happy my carbohydrates session today! It really made a difference in my weight loss!,"['happy', 'carbohydrates', 'session', 'today', '!', 'really', 'made', 'difference', 'weight', 'loss', '!']","['happy', 'carbohydrates', 'session', 'today', '!', 'really', 'made', 'difference', 'weight', 'loss', '!']",Positive,1,0,Positive
85,today was the negative day for my burpees. I feel so negative about it.,"['today', 'negative', 'day', 'burpees', '.', 'feel', 'negative', '.']","['today', 'negative', 'day', 'burpees', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
86,today was the poor day for my organic. I feel so poor about it.,"['today', 'poor', 'day', 'organic', '.', 'feel', 'poor', '.']","['today', 'poor', 'day', 'organic', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
87,i great my training session today!,"['great', 'training', 'session', 'today', '!']","['great', 'training', 'session', 'today', '!']",Positive,1,0,Positive
88,today was the disappointing day for my high-protein. I feel so bad about it.,"['today', 'disappointing', 'day', 'high-protein', '.', 'feel', 'bad', '.']","['today', 'disappointing', 'day', 'high-protein', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
89,i excellent my deadlift session today! It really made a difference in my powerlifting!,"['excellent', 'deadlift', 'session', 'today', '!', 'really', 'made', 'difference', 'powerlifting', '!']","['excellent', 'deadlift', 'session', 'today', '!', 'really', 'made', 'difference', 'powerlifting', '!']",Positive,1,0,Positive
90,today was the hate day for my keto. I feel so bad about it.,"['today', 'hate', 'day', 'keto', '.', 'feel', 'bad', '.']","['today', 'hate', 'day', 'keto', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
91,i great my portion control session today!,"['great', 'portion', 'control', 'session', 'today', '!']","['great', 'portion', 'control', 'session', 'today', '!']",Positive,1,0,Positive
92,today was the sad day for my yoga. I feel so poor about it.,"['today', 'sad', 'day', 'yoga', '.', 'feel', 'poor', '.']","['today', 'sad', 'day', 'yoga', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
93,today was the horrible day for my cycling. I feel so sad about it.,"['today', 'horrible', 'day', 'cycling', '.', 'feel', 'sad', '.']","['today', 'horrible', 'day', 'cycling', '.', 'feel', 'sad', '.']",Negative,0,2,Negative
94,today was the negative day for my fit. I feel so horrible about it.,"['today', 'negative', 'day', 'fit', '.', 'feel', 'horrible', '.']","['today', 'negative', 'day', 'fit', '.', 'feel', 'horrible', '.']",Negative,0,2,Negative
95,i amazing my low-sodium session today!,"['amazing', 'low-sodium', 'session', 'today', '!']","['amazing', 'low-sodium', 'session', 'today', '!']",Positive,1,0,Positive
96,i fantastic my water intake session today!,"['fantastic', 'water', 'intake', 'session', 'today', '!']","['fantastic', 'water', 'intake', 'session', 'today', '!']",Positive,1,0,Positive
97,today was the disappointing day for my fats. I feel so sad about it.,"['today', 'disappointing', 'day', 'fats', '.', 'feel', 'sad', '.']","['today', 'disappointing', 'day', 'fats', '.', 'feel', 'sad', '.']",Negative,0,2,Negative
98,i amazing my food pyramid session today!,"['amazing', 'food', 'pyramid', 'session', 'today', '!']","['amazing', 'food', 'pyramid', 'session', 'today', '!']",Positive,1,0,Positive
99,i fantastic my motivation session today!,"['fantastic', 'motivation', 'session', 'today', '!']","['fantastic', 'motivation', 'session', 'today', '!']",Positive,1,0,Positive
100,i excellent my fitness goals session today!,"['excellent', 'fitness', 'goals', 'session', 'today', '!']","['excellent', 'fitness', 'goals', 'session', 'today', '!']",Positive,1,0,Positive
101,i excellent my bodyweight exercises session today! It really made a difference in my deadlift!,"['excellent', 'bodyweight', 'exercises', 'session', 'today', '!', 'really', 'made', 'difference', 'deadlift', '!']","['excellent', 'bodyweight', 'exercises', 'session', 'today', '!', 'really', 'made', 'difference', 'deadlift', '!']",Positive,1,0,Positive
102,today was the disappointing day for my processed foods. I feel so horrible about it.,"['today', 'disappointing', 'day', 'processed', 'foods', '.', 'feel', 'horrible', '.']","['today', 'disappointing', 'day', 'processed', 'foods', '.', 'feel', 'horrible', '.']",Negative,0,2,Negative
103,i excellent my cardiovascular session today!,"['excellent', 'cardiovascular', 'session', 'today', '!']","['excellent', 'cardiovascular', 'session', 'today', '!']",Positive,1,0,Positive
104,i fantastic my burpees session today! It really made a difference in my performance!,"['fantastic', 'burpees', 'session', 'today', '!', 'really', 'made', 'difference', 'performance', '!']","['fantastic', 'burpees', 'session', 'today', '!', 'really', 'made', 'difference', 'performance', '!']",Positive,1,0,Positive
105,today was the bad day for my calorie deficit. I feel so negative about it.,"['today', 'bad', 'day', 'calorie', 'deficit', '.', 'feel', 'negative', '.']","['today', 'bad', 'day', 'calorie', 'deficit', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
106,i good my Mediterranean diet session today!,"['good', 'mediterranean', 'diet', 'session', 'today', '!']","['good', 'mediterranean', 'diet', 'session', 'today', '!']",Positive,1,0,Positive
107,i love my macronutrients session today!,"['love', 'macronutrients', 'session', 'today', '!']","['love', 'macronutrients', 'session', 'today', '!']",Positive,1,0,Positive
108,i happy my sports session today! It really made a difference in my flexibility!,"['happy', 'sports', 'session', 'today', '!', 'really', 'made', 'difference', 'flexibility', '!']","['happy', 'sports', 'session', 'today', '!', 'really', 'made', 'difference', 'flexibility', '!']",Positive,1,0,Positive
109,i excellent my stamina session today! It really made a difference in my squat!,"['excellent', 'stamina', 'session', 'today', '!', 'really', 'made', 'difference', 'squat', '!']","['excellent', 'stamina', 'session', 'today', '!', 'really', 'made', 'difference', 'squat', '!']",Positive,1,0,Positive
110,today was the worst day for my recovery. I feel so poor about it.,"['today', 'worst', 'day', 'recovery', '.', 'feel', 'poor', '.']","['today', 'worst', 'day', 'recovery', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
111,today was the worst day for my balanced diet. I feel so horrible about it.,"['today', 'worst', 'day', 'balanced', 'diet', '.', 'feel', 'horrible', '.']","['today', 'worst', 'day', 'balanced', 'diet', '.', 'feel', 'horrible', '.']",Negative,0,2,Negative
112,i amazing my pilates session today!,"['amazing', 'pilates', 'session', 'today', '!']","['amazing', 'pilates', 'session', 'today', '!']",Positive,1,0,Positive
113,i happy my calisthenics session today!,"['happy', 'calisthenics', 'session', 'today', '!']","['happy', 'calisthenics', 'session', 'today', '!']",Positive,1,0,Positive
114,today was the negative day for my water intake. I feel so poor about it.,"['today', 'negative', 'day', 'water', 'intake', '.', 'feel', 'poor', '.']","['today', 'negative', 'day', 'water', 'intake', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
115,i great my processed foods session today!,"['great', 'processed', 'foods', 'session', 'today', '!']","['great', 'processed', 'foods', 'session', 'today', '!']",Positive,1,0,Positive
116,today was the worst day for my food pyramid. I feel so disappointing about it.,"['today', 'worst', 'day', 'food', 'pyramid', '.', 'feel', 'disappointing', '.']","['today', 'worst', 'day', 'food', 'pyramid', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
117,i good my aerobics session today!,"['good', 'aerobics', 'session', 'today', '!']","['good', 'aerobics', 'session', 'today', '!']",Positive,1,0,Positive
118,today was the bad day for my sugar-free. I feel so disappointing about it.,"['today', 'bad', 'day', 'sugar-free', '.', 'feel', 'disappointing', '.']","['today', 'bad', 'day', 'sugar-free', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
119,i excellent my fiber session today!,"['excellent', 'fiber', 'session', 'today', '!']","['excellent', 'fiber', 'session', 'today', '!']",Positive,1,0,Positive
120,i positive my gym session today!,"['positive', 'gym', 'session', 'today', '!']","['positive', 'gym', 'session', 'today', '!']",Positive,1,0,Positive
121,i positive my nutrition labels session today!,"['positive', 'nutrition', 'labels', 'session', 'today', '!']","['positive', 'nutrition', 'labels', 'session', 'today', '!']",Positive,1,0,Positive
122,today was the bad day for my sports. I feel so negative about it.,"['today', 'bad', 'day', 'sports', '.', 'feel', 'negative', '.']","['today', 'bad', 'day', 'sports', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
123,today was the bad day for my food diary. I feel so poor about it.,"['today', 'bad', 'day', 'food', 'diary', '.', 'feel', 'poor', '.']","['today', 'bad', 'day', 'food', 'diary', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
124,today was the hate day for my calories. I feel so negative about it.,"['today', 'hate', 'day', 'calories', '.', 'feel', 'negative', '.']","['today', 'hate', 'day', 'calories', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
125,today was the sad day for my micronutrients. I feel so horrible about it.,"['today', 'sad', 'day', 'micronutrients', '.', 'feel', 'horrible', '.']","['today', 'sad', 'day', 'micronutrients', '.', 'feel', 'horrible', '.']",Negative,0,2,Negative
126,today was the disappointing day for my strength training. I feel so worst about it.,"['today', 'disappointing', 'day', 'strength', 'training', '.', 'feel', 'worst', '.']","['today', 'disappointing', 'day', 'strength', 'training', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
127,today was the negative day for my weightlifting. I feel so worst about it.,"['today', 'negative', 'day', 'weightlifting', '.', 'feel', 'worst', '.']","['today', 'negative', 'day', 'weightlifting', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
128,today was the sad day for my fitness. I feel so bad about it.,"['today', 'sad', 'day', 'fitness', '.', 'feel', 'bad', '.']","['today', 'sad', 'day', 'fitness', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
129,today was the sad day for my deadlift. I feel so bad about it.,"['today', 'sad', 'day', 'deadlift', '.', 'feel', 'bad', '.']","['today', 'sad', 'day', 'deadlift', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
130,i good my squat session today! It really made a difference in my hiit!,"['good', 'squat', 'session', 'today', '!', 'really', 'made', 'difference', 'hiit', '!']","['good', 'squat', 'session', 'today', '!', 'really', 'made', 'difference', 'hiit', '!']",Positive,1,0,Positive
